player_name,goals,minutes_played_official,assists,distance_covered,top_speed
Amadou Onana,1,272,0,23.86,33.61
Julián Carranza,1,264,0,37.8,32.06
Julien Le Cardinal,1,256,0,29.43,32.15
Tommaso Pobega,1,249,0,33.34,30.97
Victor Boniface,1,243,0,27.26,32.28
Zeki Amdouni,1,240,0,35.35,33.85
Fabian Rieder,1,240,3,35.48,31.82
Kyriani Sabbe,1,239,0,29.97,31.95
Samuel Mbangula,1,225,0,25.08,32.4
Takuya Ogiwara,1,225,0,26.26,32.23
Danylo Sikan,1,221,0,26.55,32.6
Marko Arnautović,1,203,0,23.24,33.16
Oleksandr Zinchenko,1,194,0,25.27,29.57
Dario Špikić,1,185,0,23.49,35.13
Arjan Malić,1,183,0,22.69,32.22
Eric García,1,179,0,13.1,29.94
Gustaf Nilsson,1,175,0,25.34,31.18
Nuno Santos,1,164,0,19.6,35.17
Angel Gomes,1,161,0,21.36,30.34
Idjessi Metsoko,1,154,0,23.25,33.36
Yussuf Poulsen,1,153,0,22.65,31.54
Daouda Guindo,1,153,0,20.06,31.71
Couhaib Driouech,1,152,0,20.1,34.36
Yannik Keitel,1,145,0,19.43,29.37
Guélor Kanga,1,141,0,20.25,30.89
Casper Nielsen,1,140,0,21.87,31.62
El Bilal Touré,1,139,0,18.16,32.86
Endrick,1,136,0,15.53,33.29
Nicolò Zaniolo,1,127,0,18.88,31.28
Marco Brescianini,1,124,0,19.82,31.33
James McAtee,1,107,0,14.73,31.1
Ross Barkley,1,99,0,13.23,30.12
Nico González,1,90,0,11.13,30.26
Arthur Cabral,1,76,0,12.61,32.56
Senny Mayulu,1,41,0,7.06,32.44
Joshua Kimmich,0,1260,6,153.14,32.23
Federico Valverde,0,1236,3,120.11,35.23
Jules Koundé,0,1106,3,108.14,32.95
Nico Schlotterbeck,0,1080,1,112.03,32.85
Pedri,0,1012,2,114.65,31.43
Fredrik Aursnes,0,990,1,141.83,32.21
Dayot Upamecano,0,990,1,121.56,34.61
Fabián Ruiz,0,977,4,100.26,31.33
Alvaro Carreras,0,900,2,108.03,33.31
Alexsandro,0,900,1,93.01,32.9
Ferland Mendy,0,888,1,95.09,33.85
Julian Brandt,0,884,4,91.05,33.71
Pau Cubarsí,0,876,1,72.82,31.78
Marten de Roon,0,874,1,112.02,33.14
Alessandro Bastoni,0,868,1,62.14,32.37
Mauro Júnior,0,829,1,90.59,34.06
Joško Gvardiol,0,815,2,98.92,34.78
Alejandro Balde,0,804,3,86.22,33.16
Federico Gatti,0,801,1,81.46,33.84
Youssouf Fofana,0,800,2,98.24,33.13
Jeremie Frimpong,0,796,5,89.53,35.38
Francisco Trincão,0,791,1,96.87,32.9
Nicolò Barella,0,784,2,59.05,31.6
Vanderson,0,781,1,92.49,33.69
Guus Til,0,768,2,90.7,32.04
Rodrigo De Paul,0,748,1,93.37,32.71
Raúl Asencio,0,748,1,61.5,35.84
Geovany Quenda,0,722,1,87.33,33.65
Timi Max Elšnik,0,720,2,89.42,33.66
Gijs Smal,0,717,1,88.41,31.51
Henrikh Mkhitaryan,0,715,1,60.95,31.41
Isak Hien,0,710,1,80.42,34.64
Maximilian Mittelstädt,0,706,3,86.65,32.43
Youngwoo Seol,0,701,3,83.91,32.14
Davide Zappacosta,0,699,5,90.06,33.34
Oscar Gloukh,0,681,2,81.21,32.98
Pau Torres,0,678,1,56.64,30.94
Edmond Tapsoba,0,670,1,78.86,33.29
William Bøving,0,669,2,90.37,33.46
Stefan Ristovski,0,650,2,79.23,32.41
Luka Modrić,0,647,2,67.02,31.13
Sam Beukema,0,647,1,76.66,31.98
Manuel Akanji,0,646,1,72.11,33.28
Ludovic Ajorque,0,643,3,73.81,32.29
Rico Lewis,0,639,1,78.55,32.53
Marc Casadó,0,631,2,84.76,29.93
Amar Dedić,0,630,1,70.62,33.5
Ayyoub Bouaddi,0,622,1,77.96,30.79
Thomas Meunier,0,617,1,71.87,32.78
Tochi Chukwuani,0,607,1,82.96,30.1
Kyriakos Savvidis,0,604,1,74.97,30.49
Filip Ugrinic,0,598,1,78.37,32.25
Quinten Timber,0,597,2,72.57,30.95
Aleksandr Golovin,0,577,1,76.45,33.44
Trent Alexander-Arnold,0,577,1,65.18,34.14
Greg Taylor,0,576,1,73.54,30.63
Carlos Augusto,0,569,2,46.52,35.13
Fikayo Tomori,0,565,1,62.93,35.17
Andrea Cambiaso,0,564,1,62.05,33.82
Filip Panák,0,562,1,62,32.87
Francesco Acerbi,0,560,1,32.81,31.78
Andy Robertson,0,551,1,66.3,33.43
Serge Gnabry,0,549,3,64.91,33.72
Hugo Bueno,0,546,1,64.93,32.39
Piotr Zieliński,0,546,1,57.11,31.46
Joey Veerman,0,545,3,58.29,30.7
Ronaël Pierre-Gabriel,0,536,1,62.6,34
Matěj Ryneš,0,525,1,62.47,33.37
Myles Lewis-Skelly,0,498,2,27.25,31.33
Gabriel Gudmundsson,0,485,1,58.76,35.14
Josip Mišić,0,481,1,57.05,32.47
Kamil Piątkowski,0,478,1,56.62,33.02
Yukhym Konoplia,0,465,2,55.77,31.79
Federico Dimarco,0,461,2,29.61,32.59
Mama Baldé,0,452,2,54.42,36.13
Kostas Tsimikas,0,444,1,55.73,31.98
Samuel Lino,0,411,3,56.65,32.33
Andreas Schjelderup,0,408,2,52.24,32.19
Eguinaldo,0,408,1,52.63,34.32
Dani Ceballos,0,406,1,49.73,30.44
Nicolas Seiwald,0,406,1,46.3,33.78
Koke,0,402,1,60,29.43
Seedy Jatta,0,383,1,51.43,33.69
Charalampos Lykogiannis,0,371,1,45.39,32.75
Bart Nieuwkoop,0,353,1,42.58,33
Curtis Jones,0,352,2,48.31,32.43
Cheikh Niasse,0,341,1,42.5,33.76
Alexander Schlager,0,336,1,18.92,27.56
Gerard Martín,0,327,1,25.55,33.98
Juan Cuadrado,0,316,1,40.77,33.55
Tyrone Mings,0,312,1,34.81,33.57
Marcus Rashford,0,309,2,17.59,34.32
Lukáš Sadílek,0,301,1,43.93,31.34
Alan Virginius,0,298,1,39.79,35.15
Raheem Sterling,0,297,2,34.78,34.23
Christian Mawissa,0,295,1,34.44,34.93
Jordan Lotomba,0,281,1,31.48,32.51
Conor Bradley,0,278,1,35.5,34.89
Samuel Chukwueze,0,277,1,35.92,33.4
Giovanni Reyna,0,275,1,31.38,26.92
Robert Andrich,0,273,1,37.74,33.08
Odilon Kossounou,0,267,1,32.57,33.22
David Raum,0,266,1,32.53,33.32
Lukáš Haraslín,0,265,1,31.88,30.6
Kevin Kampl,0,262,1,24.81,30.03
Matias Fernandez-Pardo,0,260,1,30.56,34.53
Gabriel Jesus,0,260,1,32.46,33.78
João Simões,0,235,1,34.53,32.28
Ismaily,0,228,1,20.81,31.65
Alex Valle,0,210,1,28.7,33.3
Pedro Gonçalves,0,200,2,25.23,31.27
Jurij Medveděv,0,193,1,24.42,32.65
Jérémy Doku,0,192,1,21.46,33.17
Hugo Vetlesen,0,182,1,26.27,31.68
Hyunjun,0,153,1,21.71,33.37
Jonas Hofmann,0,131,1,19.13,31.11
Jens Odgaard,0,128,1,16.38,32.52
Jan-Niklas Beste,0,109,2,15.33,32.88
Federico Chiesa,0,107,1,13.76,32.97
Isaac Babadi,0,104,1,15.86,28.74
Martin Terrier,0,104,1,14.86,31.4
Noah Okafor,0,102,1,14.85,32.86
Ismaël Bennacer,0,75,1,9.5,27.23
James Forrest,0,60,1,8.9,33.07
Francesco Camarda,0,36,1,7.23,32.23
