name,goals,assists,top_speed,total_minutes,distance,rating,rank
Josha Vagnoman,1,1,35.53,545,69.03,4.605598937820375,D
Miguel Gutiérrez,1,0,31.57,540,67.52,4.285164749752276,D
Leon Bailey,1,1,32.3,531,62.96,4.652465428093301,D
Matheus Nunes,1,3,36.28,531,65.29,5.310851122315621,C
Jhon Lucumi,1,0,32.66,531,56.09,4.348245642787231,D
Raphaël Guerreiro,1,0,31.78,525,55.31,4.36035816170563,D
Geny Catamo,1,1,34.06,506,60.46,4.699651207602904,D
Chris Führich,1,0,32.76,506,58.63,4.373369330886202,D
Alexander Bah,1,2,33.76,500,64.49,5.025000953951559,C
Silvère Ganvoula,1,0,34.77,490,53.74,4.41796987277651,D
Gonçalo Inácio,1,0,32.79,488,52.83,4.42485268849076,D
Mohammed Salisu,1,0,31.23,477,52.54,4.442068738212562,D
Ronald Araújo,1,0,33.2,476,38.32,4.50576504453543,D
Conor Gallagher,1,1,32.85,469,63.71,4.739063237605709,D
Raoul Bellanova,1,0,35.03,468,59.37,4.425218323874872,D
Kyogo Furuhashi,1,0,34.05,467,50.34,4.466195928923696,D
Darwin Núñez,1,1,34.41,465,60.48,4.759001001750279,D
Kingsley Coman,1,0,35.42,460,58.18,4.442024958962815,D
Marko Tolić,1,1,31.96,459,53.43,4.798559812959284,D
Donny van de Beek,1,0,32.1,453,59.71,4.445475377256117,D
Davide Frattesi,1,0,32.53,451,52.89,4.478228621588786,D
Kevin Wimmer,1,0,31.08,450,52.25,4.482479848277452,D
Łukasz Łakomy,1,0,30.45,444,60.46,4.455239549382046,D
Nahuel Molina,1,0,34.14,427,53.32,4.511138930494972,D
Deniz Undav,1,1,30.59,425,50.28,4.861638123319991,D
Mitchel Bakker,1,0,33.01,422,52.12,4.52364026575948,D
Fermín López,1,5,31.81,414,34.28,6.284793180937735,C
Thijs Dallinga,1,0,31.67,410,52.33,4.540117307208019,D
Riccardo Calafiori,1,1,32.52,409,51.73,4.878485954983433,D
Patrik Schick,1,0,32.95,407,51.9,4.546348662630796,D
Ermedin Demirović,1,0,32.27,404,49.86,4.5596276305875225,D
Álvaro Morata,1,1,33.72,396,48.12,4.913134352224966,D
Adam Daghim,1,0,35.63,393,54.73,4.554256301007964,D
Jacob Ramsey,1,2,34.4,392,40.05,5.288551245012608,C
Juanpe,1,1,30.42,390,44.31,4.9385103903842795,D
Arnaut Danjuma,1,2,34.64,388,45.27,5.271499986851655,C
Rémy Cabella,1,1,31.1,388,42.93,4.947450583670553,D
Pierre Lees-Melou,1,0,32.25,374,48.99,4.6069267059386005,D
Ian Maatsen,1,0,33.66,373,43.47,4.632539640183592,D
Mathias Pereira Lage,1,0,32.8,370,52.13,4.598980437883622,D
Liam Scales,1,0,32.1,370,43.88,4.635093980371263,D
David López,1,0,30.57,368,44.65,4.634622765615302,D
Aleix García,1,0,31.57,365,49.75,4.616647104073635,D
Nicolás González,1,1,33.33,365,29.0,4.958229347770763,D
John Stones,1,1,32.23,364,43.4,4.980185796613162,D
Edon Zhegrova,1,1,33.41,361,46.17,4.972409474949822,D
Nordi Mukiele,1,1,32.09,360,41.5,5.005698380031185,C
Jakub Moder,1,0,31.28,360,50.27,4.621619312904357,D
Dani Olmo,1,1,30.5,357,35.05,5.026884917909845,C
Jack Grealish,1,0,31.91,354,42.77,4.6631479537035965,D
Samuel Iling-Junior,1,0,32.34,347,42.42,4.674827882284992,D
Mirko Ivanić,1,1,31.85,346,43.29,5.006761753398971,C
Marko Pjaca,1,3,31.54,344,39.69,5.694004806764385,C
Malick Thiaw,1,1,32.81,337,39.31,5.037231023217814,C
Mads Bidstrup,1,0,31.59,335,53.84,4.642234279941234,D
Nino Marcelli,1,1,32.41,330,43.42,5.029387751860436,C
Nathan Tella,1,0,33.51,330,41.12,4.705163252715757,D
Albion Rrahmani,1,0,31.75,327,41.15,4.709381004557404,D
Conrad Harder,1,0,33.25,326,42.67,4.704177049212942,D
Jorginho,1,0,28.2,323,40.71,4.717105825242516,D
Daniel Bragança,1,2,31.21,317,44.24,5.378936788186201,C
Kastriot Imeri,1,0,29.78,309,39.74,4.741647580159447,D
Mateo Kovačić,1,0,32.35,308,39.46,4.744322943175925,D
Eric Dier,1,0,31.15,296,15.91,4.864806986988871,D
Lazar Vujadin Samardžić,1,1,31.38,290,42.79,5.0901331641444845,C
Marlon,1,0,31.92,289,36.0,4.787012878182704,D
Soungoutou Magassa,1,0,31.12,288,40.12,4.7704276852057745,D
Amadou Onana,1,0,33.61,272,23.86,4.864799254742685,D
Julián Carranza,1,0,32.06,264,37.8,4.81537584160784,D
Julien Le Cardinal,1,0,32.15,256,29.43,4.8636122021577535,D
Tommaso Pobega,1,0,30.97,249,33.34,4.856644410618258,D
Victor Boniface,1,0,32.28,243,27.26,4.891957144710535,D
Zeki Amdouni,1,0,33.85,240,35.35,4.860893059891529,D
Fabian Rieder,1,3,31.82,240,35.48,5.863201549160877,C
Kyriani Sabbe,1,0,31.95,239,29.97,4.885893158264003,D
Samuel Mbangula,1,0,32.4,225,25.08,4.927594317611425,D
Takuya Ogiwara,1,0,32.23,225,26.26,4.92242898668592,D
Danylo Sikan,1,0,32.6,221,26.55,4.926958306035763,D
Marko Arnautović,1,0,33.16,203,23.24,4.967541939907687,D
Oleksandr Zinchenko,1,0,29.57,194,25.27,4.97170304119917,D
Dario Špikić,1,0,35.13,185,23.49,4.992542033021309,D
Arjan Malić,1,0,32.22,183,22.69,4.998943334835723,D
Eric García,1,0,29.94,179,13.1,5.046721357188947,C
Gustaf Nilsson,1,0,31.18,175,25.34,5.001059242579672,C
Nuno Santos,1,0,35.17,164,19.6,5.04001363217942,C
Angel Gomes,1,0,30.34,161,21.36,5.036658483596386,C
Idjessi Metsoko,1,0,33.36,154,23.25,5.0385330382175,C
Yussuf Poulsen,1,0,31.54,153,22.65,5.04260916894259,C
Daouda Guindo,1,0,31.71,153,20.06,5.053946632584164,C
Couhaib Driouech,1,0,34.36,152,20.1,5.055221227892031,C
Yannik Keitel,1,0,29.37,145,19.43,5.0683019241820375,C
Guélor Kanga,1,0,30.89,141,20.25,5.070511222014493,C
Casper Nielsen,1,0,31.62,140,21.87,5.06486952676109,C
El Bilal Touré,1,0,32.86,139,18.16,5.082559368654247,C
Endrick,1,0,33.29,136,15.53,5.098421002073727,C
Nicolò Zaniolo,1,0,31.28,127,18.88,5.096803936567188,C
Marco Brescianini,1,0,31.33,124,19.82,5.09703825523747,C
James McAtee,1,0,31.1,107,14.73,5.143963968217103,C
Ross Barkley,1,0,30.12,99,13.23,5.162127597022764,C
Nico González,1,0,30.26,90,11.13,5.184367356553514,C
Arthur Cabral,1,0,32.56,76,12.61,5.198184483701388,C
Senny Mayulu,1,0,32.44,41,7.06,5.273218243148124,C
Joshua Kimmich,0,6,32.23,1260,153.14,4.538056709529563,D
Federico Valverde,0,3,35.23,1236,120.11,3.714557240816469,F
Jules Koundé,0,3,32.95,1106,108.14,3.955414573204309,F
Nico Schlotterbeck,0,1,32.85,1080,112.03,3.3074934297033707,F
Pedri,0,2,31.43,1012,114.65,3.7288961675975623,F
Fredrik Aursnes,0,1,32.21,990,141.83,3.307519151268793,F
Dayot Upamecano,0,1,34.61,990,121.56,3.3962490308111546,F
Fabián Ruiz,0,4,31.33,977,100.26,4.511211169095339,D
Alvaro Carreras,0,2,33.31,900,108.03,3.920239971971079,F
Alexsandro,0,1,32.9,900,93.01,3.6516959892437084,F
Ferland Mendy,0,1,33.85,888,95.09,3.6599872943950498,F
Julian Brandt,0,4,33.71,884,91.05,4.6863483029530135,D
Pau Cubarsí,0,1,31.78,876,72.82,3.7748682673735487,F
Marten de Roon,0,1,33.14,874,112.02,3.6061736056115237,F
Alessandro Bastoni,0,1,32.37,868,62.14,3.833216419820002,F
Mauro Júnior,0,1,34.06,829,90.59,3.7652173753125364,F
Joško Gvardiol,0,2,34.78,815,98.92,4.083341835748269,D
Alejandro Balde,0,3,33.16,804,86.22,4.489173925219985,D
