name,goals,assists,top_speed,total_minutes,distance,rating,rank
João Simões,0,1,32.28,0.15030211480362538,0.18804764512595842,4.871730983502061,3
Ismaily,0,1,31.65,0.14501510574018128,0.09412650602409639,4.941936737908881,3
Alex Valle,0,1,33.3,0.1314199395770393,0.14813800657174153,4.933493501979402,3
Pedro Gonçalves,0,2,31.27,0.12386706948640483,0.12438389923329685,5.297472506584413,2
Jurij Medveděv,0,1,32.65,0.11858006042296074,0.11883899233296827,4.9768735216966125,3
Jérémy Doku,0,1,33.17,0.1178247734138973,0.09857612267250823,4.991280314272712,3
Hugo Vetlesen,0,1,31.68,0.11027190332326284,0.13150328587075577,4.984721937367075,3
Hyunjun,0,1,33.37,0.08836858006042296,0.10028751369112818,5.046723924086637,2
Jonas Hofmann,0,1,31.11,0.07175226586102719,0.08262595837897044,5.089910821709062,2
Jens Odgaard,0,1,32.52,0.06948640483383686,0.06380065717415115,5.1062977430192715,2
Jan-Niklas Beste,0,2,32.88,0.05513595166163142,0.05661281489594743,5.4727306632708945,2
Federico Chiesa,0,1,32.97,0.05362537764350453,0.045865279299014246,5.1482100453338315,2
Isaac Babadi,0,1,28.74,0.0513595166163142,0.06024096385542169,5.1433665810603975,2
Martin Terrier,0,1,31.4,0.0513595166163142,0.05339539978094195,5.147743980149809,2
Noah Okafor,0,1,32.86,0.04984894259818731,0.053326944140197154,5.1506871366835885,2
Ismaël Bennacer,0,1,27.23,0.02945619335347432,0.016703176341730568,5.213247886140898,2
James Forrest,0,1,33.07,0.018126888217522657,0.012595837897042723,5.23761969466619,2
Francesco Camarda,0,1,32.23,0.0,0.0011637458926615635,5.2797225416601385,2
